order_id,order_date,customername,state,city
B-26558,2019-09-03,Harsh,Maharashtra,Pune
B-26559,2019-09-04,Shubham,Delhi,Delhi
B-26560,2019-09-04,Amit,Andhra Pradesh,Hyderabad
B-26561,2019-09-04,Mayank,Maharashtra,Mumbai
B-26562,2019-09-04,Swetha,Punjab,Chandigarh
B-26563,2019-09-05,Harsh,Gujarat,Surat
B-26564,2019-09-06,Mayank,Punjab,Amritsar
B-26565,2019-09-07,Surabhi,Haryana,Chandigarh
B-26566,2019-09-07,Dheeraj,Uttar Pradesh,Allahabad
B-26567,2019-09-07,Shivani,Maharashtra,Pune
B-26568,2019-09-08,Jahan,Tamil Nadu,Chennai
B-26569,2019-09-08,Tulika,Uttar Pradesh,Lucknow
B-26570,2019-09-08,Sanjna,Madhya Pradesh,Bhopal
B-26571,2019-09-09,Yaanvi,Goa,Goa
B-26572,2019-09-09,Ishit,Rajasthan,Jaipur
B-26573,2019-09-10,Shreya,Sikkim,Gangtok
B-26574,2019-09-11,Shivam,Madhya Pradesh,Indore
B-26575,2019-09-11,Piyali,Kerala,Thiruvananthapuram
B-26576,2019-09-12,Kartikay,Andhra Pradesh,Hyderabad
B-26577,2019-09-12,Shivam,Madhya Pradesh,Bhopal
B-26578,2019-09-12,Akanksha,Tamil Nadu,Chennai
B-26579,2019-09-12,Kishwar,Karnataka,Bangalore
B-26580,2019-09-12,Shruti,Haryana,Chandigarh
B-26581,2019-09-13,Ajay,Andhra Pradesh,Hyderabad
B-26582,2019-09-14,Rohan,Madhya Pradesh,Indore
B-26583,2019-09-15,Subhashree,Maharashtra,Mumbai
B-26584,2019-09-15,Palak,Maharashtra,Mumbai
B-26585,2019-09-15,Manisha,Andhra Pradesh,Hyderabad
B-26586,2019-09-15,Kshitij,Maharashtra,Mumbai
B-26587,2019-09-16,Amit,Maharashtra,Mumbai
B-26588,2019-09-17,Moumita,Maharashtra,Mumbai
B-26589,2019-09-17,Farah,Gujarat,Ahmedabad
B-26590,2019-09-17,Noshiba,Jammu and Kashmir,Kashmir
B-26591,2019-09-17,K,Madhya Pradesh,Indore
B-26592,2019-09-17,Shreyoshe,Uttar Pradesh,Allahabad
B-26593,2019-09-18,Anmol,Kerala,Thiruvananthapuram
B-26594,2019-09-18,Aashna,West Bengal,Kolkata
B-26595,2019-09-19,Tulika,Rajasthan,Jaipur
B-26596,2019-09-19,Shreya,Maharashtra,Mumbai
B-26597,2019-09-20,Sanskriti,Maharashtra,Pune
B-26598,2019-09-20,Ankur,Madhya Pradesh,Indore
B-26599,2019-09-20,Deepak,Delhi,Delhi
B-26600,2019-09-20,Aarushi,Madhya Pradesh,Bhopal
